ID,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Date,Participants,Completed questionnaires,Created diary studies,Psychologie magazine,Volkskrant magazine,Nieuwsbrief,Lezingen
398,0,0,0,0,0,1,0,2-1-2015,2,3,0,0,0,0,0
399,0,0,0,0,0,0,1,3-1-2015,0,1,1,0,0,0,0
400,1,0,0,0,0,0,0,4-1-2015,5,12,1,0,0,0,0
401,0,1,0,0,0,0,0,5-1-2015,1,7,0,0,0,0,0
402,0,0,1,0,0,0,0,6-1-2015,2,2,0,0,0,0,0
403,0,0,0,1,0,0,0,7-1-2015,1,9,2,0,0,0,0
404,0,0,0,0,1,0,0,8-1-2015,1,12,3,0,0,0,0
405,0,0,0,0,0,1,0,9-1-2015,2,10,0,0,0,0,0
406,0,0,0,0,0,0,1,10-1-2015,1,2,0,0,0,0,0
407,1,0,0,0,0,0,0,11-1-2015,3,18,1,0,0,0,0
408,0,1,0,0,0,0,0,12-1-2015,2,26,0,0,0,0,0
409,0,0,1,0,0,0,0,13-1-2015,1,6,0,0,0,0,0
410,0,0,0,1,0,0,0,14-1-2015,0,0,0,0,0,0,0
411,0,0,0,0,1,0,0,15-1-2015,1,5,0,0,0,0,0
412,0,0,0,0,0,1,0,16-1-2015,0,0,0,0,0,0,0
